"FlightID";"RouteCode";"Origin";"Destination";"FlightDate";"FlightDurationMins";"AircraftType";"SeatsAvailable";"Revenue";"SeatsSold";"OperationalCost"
28;"BLR-BOM";"BLR";"BOM";"2025-11-07";133;"A350";287;2422913;211;326294
29;"DEL-HYD";"DEL";"HYD";"2025-10-02";147;"B737";268;1523250;225;157376
30;"AMD-HYD";"AMD";"HYD";"2025-10-17";250;"B787";226;669578;91;776316
31;"DEL-BLR";"DEL";"BLR";"2025-01-02";141;"A321";128;417495;65;1043487
32;"BOM-BLR";"BOM";"BLR";"2025-01-23";161;"B737";167;1473312;149;921840
33;"DEL-HYD";"DEL";"HYD";"2025-02-15";238;"A321";159;324322;62;201471
34;"BOM-HYD";"BOM";"HYD";"2025-01-01";64;"B787";247;1412182;202;1428229
35;"DEL-CCU";"DEL";"CCU";"2025-06-05";72;"A321";122;832275;81;767641
36;"CCU-AMD";"CCU";"AMD";"2025-05-08";217;"A321";154;232650;50;1448571
37;"BLR-HYD";"BLR";"HYD";"2025-04-14";287;"B787";150;181370;70;1347425
38;"BLR-CCU";"BLR";"CCU";"2026-01-01";239;"B737";279;994704;272;1491218
39;"BLR-CCU";"BLR";"CCU";"2025-03-28";229;"A320";168;631236;123;1275116
40;"MAA-AMD";"MAA";"AMD";"2025-11-16";222;"A320";135;1375055;115;1200567
41;"CCU-AMD";"CCU";"AMD";"2025-06-05";97;"B787";200;468096;138;321237
42;"HYD-BOM";"HYD";"BOM";"2025-10-12";84;"A320";256;1104248;97;1077306
43;"CCU-AMD";"CCU";"AMD";"2025-08-30";184;"B737";201;499730;154;1129153
44;"BLR-MAA";"BLR";"MAA";"2025-04-08";260;"A320";247;906642;209;869667
45;"BLR-BOM";"BLR";"BOM";"2025-07-01";110;"B787";242;1118946;129;764234
46;"DEL-CCU";"DEL";"CCU";"2025-09-09";86;"A350";176;261696;64;633450
47;"BOM-MAA";"BOM";"MAA";"2025-09-17";189;"A321";210;1764630;210;1345717
48;"DEL-HYD";"DEL";"HYD";"2025-09-16";186;"B787";287;2458080;216;542171
49;"BOM-AMD";"BOM";"AMD";"2025-01-29";53;"A350";291;1630317;221;1481456
50;"BOM-MAA";"BOM";"MAA";"2025-06-16";53;"A320";196;555880;130;739791
51;"BLR-DEL";"BLR";"DEL";"2025-04-26";236;"B787";122;426712;88;195022
52;"AMD-CCU";"AMD";"CCU";"2025-03-06";81;"A321";252;852480;111;511516
53;"BOM-DEL";"BOM";"DEL";"2025-05-08";239;"A321";192;360114;141;388739
54;"MAA-CCU";"MAA";"CCU";"2025-11-04";180;"A350";131;669305;65;1414688
55;"BOM-HYD";"BOM";"HYD";"2025-04-08";180;"A350";253;217308;52;1352519
56;"AMD-DEL";"AMD";"DEL";"2025-09-25";232;"B737";149;551892;148;958440
57;"AMD-HYD";"AMD";"HYD";"2025-07-19";104;"A321";213;373597;133;858777
58;"HYD-MAA";"HYD";"MAA";"2025-01-28";70;"A321";195;1178268;156;520663
59;"DEL-HYD";"DEL";"HYD";"2025-01-11";56;"B737";236;769331;173;606256
60;"HYD-AMD";"HYD";"AMD";"2025-08-07";131;"A350";174;1463770;154;831330
61;"BLR-DEL";"BLR";"DEL";"2025-03-04";55;"A321";230;1009358;119;408250
62;"DEL-AMD";"DEL";"AMD";"2025-03-05";185;"A350";214;1385886;186;1274803
63;"BLR-AMD";"BLR";"AMD";"2025-03-08";293;"A321";150;916908;109;1100243
64;"DEL-CCU";"DEL";"CCU";"2025-01-23";95;"A350";155;590648;68;1396717
65;"BLR-HYD";"BLR";"HYD";"2025-09-11";195;"B737";191;756048;114;349798
66;"BOM-MAA";"BOM";"MAA";"2025-12-21";156;"B737";195;1362201;141;967308
67;"BOM-MAA";"BOM";"MAA";"2025-12-08";113;"A350";296;1552467;147;1394346
68;"AMD-DEL";"AMD";"DEL";"2025-12-11";77;"B787";129;1172827;107;131816
69;"MAA-DEL";"MAA";"DEL";"2025-05-07";143;"A350";204;437950;95;917112
70;"AMD-BOM";"AMD";"BOM";"2025-09-19";235;"B737";296;968814;231;785854
71;"MAA-CCU";"MAA";"CCU";"2025-08-19";263;"B737";239;661689;63;155573
72;"BOM-HYD";"BOM";"HYD";"2025-07-19";200;"B737";164;581950;113;665474
73;"DEL-BOM";"DEL";"BOM";"2025-06-26";115;"A320";192;2025024;192;603142
74;"HYD-BLR";"HYD";"BLR";"2025-04-13";61;"B737";155;335296;52;1381786
75;"BLR-MAA";"BLR";"MAA";"2025-06-17";215;"A350";208;619173;89;325519
76;"MAA-CCU";"MAA";"CCU";"2025-12-02";126;"A321";160;1667328;156;1409106
77;"HYD-BLR";"HYD";"BLR";"2025-07-26";125;"A320";239;1142658;199;1358428
78;"MAA-BLR";"MAA";"BLR";"2025-06-02";125;"A320";213;2015494;169;1214833
79;"DEL-CCU";"DEL";"CCU";"2025-06-20";153;"B787";232;549045;105;1029698
80;"CCU-BLR";"CCU";"BLR";"2025-03-07";80;"A320";289;701118;99;849788
81;"HYD-AMD";"HYD";"AMD";"2025-03-16";138;"A350";125;920518;118;880563
82;"HYD-DEL";"HYD";"DEL";"2025-01-25";255;"A320";270;1840446;177;854091
83;"BLR-MAA";"BLR";"MAA";"2025-03-21";49;"A350";160;397054;79;796781
84;"AMD-HYD";"AMD";"HYD";"2025-10-01";226;"A321";291;182695;61;1298504
85;"MAA-BOM";"MAA";"BOM";"2025-11-10";197;"B787";288;1806366;163;557590
86;"BLR-CCU";"BLR";"CCU";"2025-02-22";287;"B737";291;2751280;272;246166
87;"BLR-AMD";"BLR";"AMD";"2025-09-28";152;"B787";162;648900;150;995630
88;"AMD-DEL";"AMD";"DEL";"2025-01-05";265;"A321";151;961688;104;1242416
89;"AMD-MAA";"AMD";"MAA";"2025-02-03";123;"A321";216;950859;117;936685
90;"BLR-MAA";"BLR";"MAA";"2025-12-18";117;"A320";220;1918389;183;1476369
91;"CCU-BLR";"CCU";"BLR";"2025-10-24";107;"A320";124;817839;99;1252702
92;"BLR-CCU";"BLR";"CCU";"2025-04-01";242;"A350";196;591528;56;498575
93;"MAA-DEL";"MAA";"DEL";"2025-12-02";100;"B737";164;1020775;95;317033
94;"BLR-MAA";"BLR";"MAA";"2025-09-10";128;"A350";139;716036;86;367188
95;"MAA-AMD";"MAA";"AMD";"2025-10-28";126;"B787";189;476532;63;1192525
96;"CCU-HYD";"CCU";"HYD";"2025-11-09";116;"A321";122;414834;51;528941
97;"AMD-HYD";"AMD";"HYD";"2025-06-11";173;"B787";246;785284;137;247388
98;"HYD-CCU";"HYD";"CCU";"2025-10-26";108;"A321";289;688576;203;297103
99;"BLR-MAA";"BLR";"MAA";"2025-02-23";213;"B787";130;722952;108;711894
100;"DEL-BLR";"DEL";"BLR";"2025-09-12";116;"B737";199;1094904;137;1097895
101;"CCU-HYD";"CCU";"HYD";"2025-08-06";288;"B787";268;3036842;262;496502
102;"BOM-HYD";"BOM";"HYD";"2025-10-12";117;"B737";271;1698576;264;1308196
103;"BLR-CCU";"BLR";"CCU";"2025-08-31";238;"A320";170;562876;109;259023
104;"HYD-BOM";"HYD";"BOM";"2025-06-02";119;"A350";281;493024;56;435055
105;"DEL-HYD";"DEL";"HYD";"2025-05-24";121;"A321";228;1280676;123;544011
106;"CCU-HYD";"CCU";"HYD";"2025-05-11";265;"A320";235;1654254;171;884039
107;"BLR-BOM";"BLR";"BOM";"2025-01-27";197;"A321";290;1134582;263;1267245
108;"MAA-CCU";"MAA";"CCU";"2025-05-21";263;"A321";183;1865106;174;1059765
109;"HYD-BLR";"HYD";"BLR";"2025-10-09";52;"A321";149;878084;74;150146
110;"BOM-DEL";"BOM";"DEL";"2025-09-14";186;"B787";244;952545;115;712330
111;"BOM-MAA";"BOM";"MAA";"2025-03-28";80;"A320";126;358570;115;622907
112;"DEL-BOM";"DEL";"BOM";"2025-08-22";231;"A320";300;2030283;171;895237
113;"HYD-AMD";"HYD";"AMD";"2025-10-27";116;"A320";131;538677;71;573962
114;"MAA-AMD";"MAA";"AMD";"2025-10-25";102;"B787";251;1815430;170;1497966
115;"CCU-HYD";"CCU";"HYD";"2025-10-06";243;"B737";191;588924;164;851349
116;"AMD-BOM";"AMD";"BOM";"2025-09-23";238;"B737";194;905380;116;371166
117;"BLR-CCU";"BLR";"CCU";"2025-12-05";115;"A321";264;1003632;87;705466
118;"AMD-DEL";"AMD";"DEL";"2025-01-03";97;"A320";126;714384;72;306877
119;"BOM-DEL";"BOM";"DEL";"2025-09-12";142;"A320";182;721968;89;1459446
120;"AMD-BLR";"AMD";"BLR";"2025-10-14";203;"B787";167;1413630;139;1198618
121;"HYD-MAA";"HYD";"MAA";"2025-07-07";133;"B737";146;892375;121;703877
122;"DEL-HYD";"DEL";"HYD";"2025-06-04";280;"A321";135;916134;107;298624
123;"AMD-CCU";"AMD";"CCU";"2025-04-21";83;"B737";139;484848;63;1052014
124;"BOM-DEL";"BOM";"DEL";"2025-12-28";254;"B787";266;1004122;119;1175169
125;"DEL-AMD";"DEL";"AMD";"2025-03-31";45;"A321";265;691636;121;637823
126;"DEL-BLR";"DEL";"BLR";"2025-12-21";159;"A320";204;1005822;171;248117
127;"BOM-HYD";"BOM";"HYD";"2025-09-19";130;"B737";171;1295931;141;1059371
128;"CCU-HYD";"CCU";"HYD";"2025-08-13";133;"A320";196;1818096;168;353072
129;"AMD-BLR";"AMD";"BLR";"2025-07-04";201;"B787";215;1173762;183;121982
130;"BOM-CCU";"BOM";"CCU";"2025-02-26";295;"A321";226;497596;86;1284356
131;"HYD-MAA";"HYD";"MAA";"2025-07-03";239;"A320";271;2112075;189;1358305
132;"AMD-BOM";"AMD";"BOM";"2026-01-01";231;"A321";125;953880;120;657587
133;"BLR-HYD";"BLR";"HYD";"2025-08-09";246;"A350";138;326802;93;120128
134;"CCU-MAA";"CCU";"MAA";"2025-02-04";275;"A321";192;1875302;158;957279
135;"HYD-MAA";"HYD";"MAA";"2025-10-30";193;"B737";225;995072;184;533465
136;"HYD-BLR";"HYD";"BLR";"2025-09-01";258;"A320";140;1212066;102;657994
137;"DEL-BOM";"DEL";"BOM";"2025-07-25";256;"A350";225;1292760;108;1298234
138;"CCU-BOM";"CCU";"BOM";"2025-07-21";131;"B787";149;570180;51;660792
139;"DEL-AMD";"DEL";"AMD";"2025-09-06";183;"B737";228;2035845;207;1284719
140;"CCU-MAA";"CCU";"MAA";"2025-01-10";210;"A350";209;300951;51;213522
141;"BOM-BLR";"BOM";"BLR";"2025-06-05";48;"A350";263;590157;69;1344083
142;"BOM-AMD";"BOM";"AMD";"2025-05-15";110;"A350";123;698430;93;1460251
143;"AMD-DEL";"AMD";"DEL";"2025-09-01";221;"A350";209;522872;56;709441
144;"AMD-BLR";"AMD";"BLR";"2025-07-27";186;"A321";235;812469;147;1263762
145;"AMD-BOM";"AMD";"BOM";"2025-08-12";217;"B787";125;767303;73;800679
146;"MAA-AMD";"MAA";"AMD";"2025-04-10";233;"A320";123;508776;102;854660
147;"DEL-HYD";"DEL";"HYD";"2025-10-13";121;"A320";277;798316;109;1292445
148;"DEL-CCU";"DEL";"CCU";"2025-01-09";119;"B737";275;934675;109;1122588
149;"CCU-AMD";"CCU";"AMD";"2025-06-12";279;"B787";130;398878;53;501209
150;"AMD-BLR";"AMD";"BLR";"2025-02-26";130;"A320";287;735152;88;957064
151;"BOM-DEL";"BOM";"DEL";"2025-11-13";167;"B787";254;1705236;221;936030
152;"BLR-CCU";"BLR";"CCU";"2025-11-09";113;"B737";146;1126692;119;532948
153;"DEL-BOM";"DEL";"BOM";"2025-06-25";74;"B787";160;397959;109;1006169
154;"HYD-AMD";"HYD";"AMD";"2025-04-05";291;"B787";196;864308;173;230515
155;"DEL-AMD";"DEL";"AMD";"2025-03-20";71;"B737";262;1993860;209;491467
156;"BLR-HYD";"BLR";"HYD";"2025-05-17";216;"A320";147;585310;85;1066677
157;"HYD-MAA";"HYD";"MAA";"2025-08-24";260;"A321";297;1644930;294;173486
158;"BOM-DEL";"BOM";"DEL";"2025-11-30";125;"A321";228;1561098;154;463642
159;"DEL-MAA";"DEL";"MAA";"2025-12-16";53;"B737";204;629616;156;521331
160;"DEL-MAA";"DEL";"MAA";"2025-02-21";253;"A350";215;1039991;103;1232361
161;"DEL-BOM";"DEL";"BOM";"2025-03-12";100;"B787";145;974669;83;714008
162;"BLR-MAA";"BLR";"MAA";"2025-02-25";51;"A321";229;1770972;203;1138995
163;"BLR-HYD";"BLR";"HYD";"2025-08-29";173;"A320";222;1297758;159;1292643
164;"BLR-MAA";"BLR";"MAA";"2025-07-16";85;"A321";194;406944;144;225472
165;"AMD-MAA";"AMD";"MAA";"2025-02-24";233;"A321";224;1959472;206;257952
166;"AMD-CCU";"AMD";"CCU";"2025-05-09";253;"B787";146;1051296;94;1100850
167;"DEL-BOM";"DEL";"BOM";"2025-05-18";235;"A321";211;1065176;161;1099527
168;"DEL-BLR";"DEL";"BLR";"2025-04-12";129;"A321";197;460863;169;1099892
169;"DEL-AMD";"DEL";"AMD";"2025-10-17";241;"B737";203;1200696;196;812072
170;"DEL-AMD";"DEL";"AMD";"2025-08-20";282;"A320";226;910456;146;472903
171;"BOM-MAA";"BOM";"MAA";"2025-04-27";178;"A350";196;1338050;175;919980
172;"BOM-CCU";"BOM";"CCU";"2025-06-10";271;"A321";201;795992;94;1499693
173;"MAA-BLR";"MAA";"BLR";"2025-10-08";242;"A350";138;520076;92;1261526
174;"CCU-AMD";"CCU";"AMD";"2025-10-08";275;"A350";243;617344;56;653541
175;"BLR-MAA";"BLR";"MAA";"2025-04-02";101;"A350";221;457011;87;808939
176;"DEL-MAA";"DEL";"MAA";"2025-01-02";156;"A350";281;1155420;131;1217138
177;"MAA-DEL";"MAA";"DEL";"2025-09-28";147;"B737";144;306595;85;999242
178;"HYD-BLR";"HYD";"BLR";"2025-12-24";114;"B737";159;573862;83;146123
179;"AMD-BLR";"AMD";"BLR";"2025-06-24";258;"A350";208;717086;103;585633
180;"HYD-BOM";"HYD";"BOM";"2025-12-26";151;"B737";286;643545;189;1012964
181;"DEL-AMD";"DEL";"AMD";"2025-09-03";209;"A320";165;674796;159;914189
182;"DEL-BOM";"DEL";"BOM";"2025-05-10";208;"B787";214;1175616;144;1434084
183;"HYD-DEL";"HYD";"DEL";"2025-10-06";47;"A320";149;1587600;135;138953
184;"AMD-HYD";"AMD";"HYD";"2025-10-10";256;"A320";135;604512;96;177898
185;"BOM-BLR";"BOM";"BLR";"2025-02-13";297;"A321";146;471018;87;547112
186;"AMD-BLR";"AMD";"BLR";"2025-03-25";180;"B737";221;307836;51;931708
187;"BOM-HYD";"BOM";"HYD";"2025-01-22";286;"B787";291;2213937;209;876911
188;"AMD-BLR";"AMD";"BLR";"2025-07-21";215;"A321";183;293760;108;1084523
189;"BLR-MAA";"BLR";"MAA";"2025-01-28";287;"A350";153;785684;103;1326592
190;"DEL-CCU";"DEL";"CCU";"2025-07-24";149;"A350";161;1300180;140;945816
191;"AMD-BLR";"AMD";"BLR";"2025-03-04";62;"B787";194;763388;139;738154
192;"CCU-BLR";"CCU";"BLR";"2025-02-08";294;"A350";126;318804;93;1230816
193;"BLR-MAA";"BLR";"MAA";"2025-11-22";251;"B737";163;795400;97;1404546
194;"BOM-CCU";"BOM";"CCU";"2025-08-18";187;"B787";132;254932;68;1296609
195;"BLR-CCU";"BLR";"CCU";"2025-10-13";280;"B787";205;314919;99;781315
196;"CCU-DEL";"CCU";"DEL";"2025-10-23";236;"A320";238;1243339;113;1263700
197;"AMD-BOM";"AMD";"BOM";"2025-05-07";297;"A320";241;2287012;206;590396
198;"BLR-AMD";"BLR";"AMD";"2025-01-08";159;"A321";191;423148;118;935500
199;"BLR-DEL";"BLR";"DEL";"2025-09-24";177;"B737";120;528240;93;1103238
200;"HYD-CCU";"HYD";"CCU";"2025-04-25";291;"B737";298;2332789;257;1155953
201;"DEL-BLR";"DEL";"BLR";"2025-04-17";115;"A350";239;500549;161;1168314
202;"DEL-CCU";"DEL";"CCU";"2025-09-17";106;"B787";250;1553183;179;363940
203;"AMD-BOM";"AMD";"BOM";"2025-10-09";100;"B787";197;1438536;132;521738
204;"DEL-MAA";"DEL";"MAA";"2025-06-09";281;"B737";173;337854;66;493739
205;"BOM-AMD";"BOM";"AMD";"2025-01-04";64;"B787";184;549055;65;889085
206;"CCU-BOM";"CCU";"BOM";"2025-02-03";143;"A320";290;1098572;92;1032420
207;"CCU-BOM";"CCU";"BOM";"2025-05-17";292;"A320";273;965475;225;779633
208;"CCU-BLR";"CCU";"BLR";"2025-07-20";287;"B737";209;457549;97;1374492
209;"AMD-BOM";"AMD";"BOM";"2025-03-21";242;"B737";263;1121412;113;1222397
210;"CCU-BOM";"CCU";"BOM";"2025-11-01";294;"A321";149;930454;82;1335963
211;"CCU-AMD";"CCU";"AMD";"2025-11-30";113;"B737";152;726192;123;354353
212;"CCU-MAA";"CCU";"MAA";"2025-07-07";186;"A321";164;838440;72;1106153
213;"HYD-DEL";"HYD";"DEL";"2025-01-29";246;"B787";257;409972;68;581906
214;"AMD-HYD";"AMD";"HYD";"2025-03-06";275;"A321";149;449548;68;543799
215;"DEL-AMD";"DEL";"AMD";"2025-07-05";294;"B737";158;1197733;131;910248
216;"BOM-DEL";"BOM";"DEL";"2025-05-28";272;"A320";267;798460;148;1436360
217;"DEL-BLR";"DEL";"BLR";"2025-08-14";257;"A320";206;422960;85;1310286
218;"DEL-BLR";"DEL";"BLR";"2025-08-18";156;"B737";287;1041300;195;1198873
219;"BLR-BOM";"BLR";"BOM";"2025-04-27";157;"A320";287;127806;51;1024784
220;"AMD-BLR";"AMD";"BLR";"2025-08-27";248;"B787";239;1219075;143;1452967
221;"BOM-AMD";"BOM";"AMD";"2025-02-07";135;"A320";159;847177;131;1119950
222;"MAA-BOM";"MAA";"BOM";"2025-02-03";160;"B787";146;340928;56;156854
223;"HYD-DEL";"HYD";"DEL";"2025-03-20";65;"A320";165;459767;77;481115
224;"HYD-BLR";"HYD";"BLR";"2025-06-30";141;"B787";169;1051985;155;861191
225;"BOM-CCU";"BOM";"CCU";"2025-10-02";169;"B737";155;1527504;132;1387740
226;"MAA-AMD";"MAA";"AMD";"2025-03-23";259;"A321";266;604068;142;405561
227;"AMD-DEL";"AMD";"DEL";"2025-04-28";120;"B737";136;1147432;104;674061
228;"CCU-DEL";"CCU";"DEL";"2025-05-22";178;"A321";139;379444;52;1078813
229;"MAA-CCU";"MAA";"CCU";"2025-08-07";242;"B787";196;1071600;114;275245
230;"MAA-CCU";"MAA";"CCU";"2025-04-26";235;"A350";242;2008110;195;238254
231;"MAA-HYD";"MAA";"HYD";"2025-12-31";155;"A350";142;758940;130;434444
232;"AMD-DEL";"AMD";"DEL";"2025-03-27";243;"A320";200;401793;159;678679
233;"CCU-BLR";"CCU";"BLR";"2025-03-09";281;"A320";185;778710;101;405927
234;"MAA-CCU";"MAA";"CCU";"2025-10-25";257;"A350";262;499204;74;692726
235;"MAA-CCU";"MAA";"CCU";"2025-08-10";125;"A321";229;590705;103;1018766
236;"BOM-HYD";"BOM";"HYD";"2025-12-17";71;"A350";122;614700;100;359371
237;"DEL-HYD";"DEL";"HYD";"2025-02-27";183;"A320";167;915160;137;1363831
238;"AMD-DEL";"AMD";"DEL";"2025-07-28";244;"B737";167;1622628;141;660784
239;"CCU-AMD";"CCU";"AMD";"2025-07-23";91;"B737";233;676247;143;1138099
240;"MAA-HYD";"MAA";"HYD";"2025-03-05";125;"B737";241;576950;55;965939
241;"BOM-AMD";"BOM";"AMD";"2025-06-09";197;"A320";155;1372800;132;1114198
242;"HYD-MAA";"HYD";"MAA";"2025-12-14";60;"B737";149;416896;128;1373090
243;"CCU-DEL";"CCU";"DEL";"2025-06-09";142;"A320";269;1378020;119;522902
244;"BOM-BLR";"BOM";"BLR";"2025-06-05";136;"B787";231;1344904;116;679388
245;"DEL-HYD";"DEL";"HYD";"2025-06-18";102;"A320";247;978732;186;1085797
246;"BOM-DEL";"BOM";"DEL";"2025-09-29";280;"A320";219;867713;77;508394
247;"BLR-MAA";"BLR";"MAA";"2025-06-21";45;"B737";155;757043;83;131387
248;"BOM-AMD";"BOM";"AMD";"2025-07-11";180;"A321";275;2023828;271;1165289
249;"BLR-DEL";"BLR";"DEL";"2025-10-07";280;"A321";266;456462;54;148836
250;"BLR-HYD";"BLR";"HYD";"2025-02-15";69;"A350";179;284580;60;554874
251;"HYD-CCU";"HYD";"CCU";"2025-02-08";248;"B787";181;1852443;171;1086159
252;"BLR-BOM";"BLR";"BOM";"2025-02-01";121;"B787";129;685685;65;863654
253;"MAA-BOM";"MAA";"BOM";"2025-09-10";104;"B737";143;763164;87;232323
254;"HYD-BLR";"HYD";"BLR";"2025-11-09";175;"B787";280;711977;119;1226301
255;"CCU-MAA";"CCU";"MAA";"2025-12-29";194;"B787";215;1623586;194;653650
256;"HYD-MAA";"HYD";"MAA";"2025-08-23";192;"A321";156;890251;79;1343722
257;"DEL-BOM";"DEL";"BOM";"2025-03-28";260;"A350";198;860201;193;111832
258;"BLR-HYD";"BLR";"HYD";"2025-01-14";218;"B787";289;706440;168;750789
259;"BLR-DEL";"BLR";"DEL";"2025-09-01";181;"B737";143;621684;84;159162
260;"DEL-BOM";"DEL";"BOM";"2025-11-10";259;"B787";270;1199984;148;1296799
261;"BLR-MAA";"BLR";"MAA";"2025-12-06";264;"A320";254;968200;100;882115
262;"HYD-CCU";"HYD";"CCU";"2025-05-23";291;"B737";125;710812;83;161648
263;"CCU-BLR";"CCU";"BLR";"2025-12-07";65;"A321";246;430077;69;1456826
264;"BOM-BLR";"BOM";"BLR";"2025-04-02";287;"A321";237;437476;52;205662
265;"BOM-BLR";"BOM";"BLR";"2025-09-27";187;"B787";200;1266588;151;587792
266;"BOM-AMD";"BOM";"AMD";"2025-05-14";226;"B737";285;1085868;126;470889
267;"CCU-MAA";"CCU";"MAA";"2025-04-01";103;"B737";169;889812;77;384110
268;"AMD-BOM";"AMD";"BOM";"2025-08-21";203;"B787";166;669866;134;1418859
269;"BLR-CCU";"BLR";"CCU";"2025-02-07";77;"A350";138;1143846;109;686827
270;"DEL-MAA";"DEL";"MAA";"2025-03-28";237;"A350";270;2496760;259;1137657
271;"AMD-BLR";"AMD";"BLR";"2025-01-26";202;"A350";191;1808048;176;559443
272;"HYD-BOM";"HYD";"BOM";"2025-02-07";172;"A320";174;713040;80;1245601
273;"DEL-MAA";"DEL";"MAA";"2025-06-20";267;"B787";133;663242;106;1462161
274;"CCU-MAA";"CCU";"MAA";"2025-10-27";256;"B787";259;1618030;239;853512
275;"HYD-DEL";"HYD";"DEL";"2025-04-07";292;"B787";296;1296000;128;986145
276;"DEL-HYD";"DEL";"HYD";"2025-07-13";100;"B737";129;325038;71;376520
277;"BOM-HYD";"BOM";"HYD";"2025-12-11";203;"A321";288;589095;195;1330203
278;"HYD-CCU";"HYD";"CCU";"2025-08-28";258;"B787";225;1585155;143;1147277
279;"HYD-DEL";"HYD";"DEL";"2025-07-04";183;"B737";255;469025;73;271765
280;"BLR-CCU";"BLR";"CCU";"2025-06-15";92;"A320";256;1282480;164;594833
281;"AMD-HYD";"AMD";"HYD";"2025-10-14";214;"A320";284;372431;53;332250
282;"BOM-BLR";"BOM";"BLR";"2025-06-13";69;"A320";127;1260830;118;1238642
283;"MAA-AMD";"MAA";"AMD";"2025-11-23";184;"A350";250;749952;128;264963
284;"HYD-BOM";"HYD";"BOM";"2025-08-23";155;"B737";141;612794;91;395379
285;"BOM-HYD";"BOM";"HYD";"2025-07-09";104;"A350";259;1835745;255;132325
286;"AMD-HYD";"AMD";"HYD";"2025-10-07";114;"A320";283;721728;252;1040543
287;"BOM-MAA";"BOM";"MAA";"2025-05-31";286;"A320";268;470943;71;351184
288;"AMD-MAA";"AMD";"MAA";"2025-12-14";79;"A321";212;409089;57;1327489
289;"CCU-BOM";"CCU";"BOM";"2025-07-02";231;"A350";153;295260;105;1454356
290;"BOM-MAA";"BOM";"MAA";"2025-04-23";199;"A320";265;772425;75;861499
291;"CCU-DEL";"CCU";"DEL";"2025-02-14";224;"A320";172;1673600;160;623707
292;"HYD-BLR";"HYD";"BLR";"2025-10-03";137;"A350";246;757458;78;1094988
293;"BOM-DEL";"BOM";"DEL";"2025-09-16";131;"A321";204;688800;150;907173
294;"BLR-MAA";"BLR";"MAA";"2025-07-06";266;"B787";169;990499;107;112598
295;"BOM-DEL";"BOM";"DEL";"2025-08-15";90;"A321";230;1058850;130;592567
296;"BLR-DEL";"BLR";"DEL";"2025-12-22";106;"B737";295;2412696;228;1073179
297;"AMD-BLR";"AMD";"BLR";"2025-07-13";210;"A320";211;892848;176;1265491
298;"DEL-BOM";"DEL";"BOM";"2025-11-03";61;"A320";145;990250;125;977481
299;"DEL-AMD";"DEL";"AMD";"2025-06-14";223;"B737";270;1045218;174;447962
300;"AMD-BLR";"AMD";"BLR";"2025-04-20";210;"B787";298;1938002;274;226872
301;"HYD-DEL";"HYD";"DEL";"2025-12-05";112;"A321";143;807708;132;1044503
302;"HYD-DEL";"HYD";"DEL";"2025-12-31";293;"A350";121;708169;119;122720
